id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,origin_id,network_id,contents
1,59:58.8,,,,,,f,,{},info,1,1,"{""question"": ""What is the capital city of France?"", ""number"": ""practice 1"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""Barcelona"", ""Rwer"": ""Paris"", ""pic"": false}"
2,00:03.4,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,15,1,Paris
3,00:03.9,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,12,1,Paris
4,00:03.9,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,t,52:30.7,{},lotty_info,18,1,Paris
5,00:04.2,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,t,18:56.5,{},lotty_info,14,1,Paris
6,00:04.8,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,17,1,Paris
7,00:05.0,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,16,1,Paris
8,00:07.3,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,13,1,Paris
9,00:08.3,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,20,1,Paris
10,00:13.7,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,19,1,Paris
11,00:16.1,"{""number"":""practice 1"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,11,1,Paris
12,00:16.3,,,,,,f,,{},info,1,1,"{""question"": ""How much does an average chimpanzee weigh?"", ""number"": ""practice 2"", ""round"": 0, ""topic"": ""Practice"", ""Wwer"": ""500kg"", ""Rwer"": ""50kg"", ""pic"": false}"
13,00:20.2,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,11,1,50kg
14,00:21.4,"{""number"":""practice 2"",""copying"":false,""score"":0,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,13,1,500kg
15,00:21.9,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,t,18:56.5,{},lotty_info,14,1,50kg
16,00:22.3,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,19,1,50kg
17,00:22.7,"{""number"":""practice 2"",""copying"":false,""score"":1,""info_chosen"":""NA"",""round"":0,""human"":true,""topic"":""Practice"",""topic_seen"":""NA""}",,,,,f,,{},lotty_info,17,1,50kg
